year,state,Auto,Bus,Truck,Motorcycle
1996,Vermont,300955,1903,206838,18256
1996,Virginia,3637721,17417,1974317,57561
1996,Washington,2636630,7842,1940348,104450
1996,West Virginia,802120,3429,626656,16075
1996,Wisconsin,2473218,12529,1556287,169594
1996,Wyoming,231480,2536,316539,14954
1997,Alabama,1905811,8576,1755052,39025
1997,Alaska,224770,2078,315550,13467
1997,Arizona,1852690,4486,1285967,74680
1997,Arkansas,857314,5814,770702,14331
1997,California,15705806,44469,9194701,454360
1997,Colorado,1919850,5721,1597019,95162
1997,Connecticut,1963185,9486,686847,48537
1997,Delaware,403797,2045,207859,9941
1997,District of Columbia,196077,2622,34971,1627
1997,Florida,7374840,42076,3457115,209473
1997,Georgia,3688005,16499,2537703,75625
1997,Hawaii,442889,3959,245956,21487
1997,Idaho,494486,3643,582923,35069
1997,Illinois,5853560,16817,2572445,181789
1997,Indiana,3247725,25408,2072643,98476
1997,Iowa,1636347,8035,1207001,132000
1997,Kansas,1137271,3813,1011023,48054
1997,Kentucky,1633671,11812,1135323,38658
1997,Louisiana,1930142,20585,1460296,38049
1997,Maine,637418,2824,418357,28166
1997,Maryland,2628171,11567,1146316,38701
1997,Massachusetts,3832386,11363,1226683,88800
1997,Michigan,5110851,24771,2888109,155673
1997,Minnesota,2317021,13817,1596411,123858
1997,Mississippi,1262969,10081,960747,30857
1997,Missouri,2549791,12745,1788008,55527
1997,Montana,455140,2820,521740,21406
1997,Nebraska,811678,5497,689821,18063
1997,Nevada,659079,1748,484829,23781
1997,New Hampshire,739132,1789,386466,47312
1997,New Jersey,4268888,19327,1528365,94243
1997,New Mexico,779596,3542,731361,31392
1997,New York,8063496,46192,2763560,135814
1997,North Carolina,3479993,29861,2275679,70216
1997,North Dakota,336610,2283,356213,16051
1997,Ohio,6700396,34444,3372811,220092
1997,Oklahoma,1528947,15538,1339234,52318
1997,Oregon,1578081,12596,1300275,62836
1997,Pennsylvania,6050365,33912,2740670,183116
1997,Rhode Island,515446,1745,192489,17741
1997,South Carolina,1765458,15203,1069700,39853
1997,South Dakota,377737,2699,337967,24584
1997,Tennessee,2755950,17400,1761492,56229
1997,Texas,7085404,77864,5759985,133423
1997,Utah,850812,1223,677474,23175
1997,Vermont,290593,1916,203207,18856
1997,Virginia,3630241,17477,2061273,56338
1997,Washington,2690616,8476,2003060,104553
1997,West Virginia,754685,3306,597001,17655
1997,Wisconsin,2551207,12972,1668552,190673
1997,Wyoming,222311,2606,328457,15261
1998,Alabama,2062734,8641,1787553,44540
1998,Alaska,232170,2196,311499,13695
1998,Arizona,1728185,4454,1211377,54373
1998,Arkansas,928958,5995,819262,21070
1998,California,16174220,45426,9380604,403971
1998,Colorado,1843385,5720,1616989,97236
1998,Connecticut,1998457,9739,692437,50594
1998,Delaware,416709,2011,197772,10174
1998,District of Columbia,192097,2582,34037,1562
1998,Florida,7437597,43077,3795715,221966
1998,Georgia,4032998,17068,2843253,86273
1998,Hawaii,449731,4107,249998,20445
1998,Idaho,501509,3604,613780,34530
1998,Illinois,6425276,17508,2863926,204225
1998,Indiana,3273026,25905,2072722,102848
1998,Iowa,1737582,8103,1307450,128540
1998,Kansas,1127367,3804,990239,47634
1998,Kentucky,1715524,12034,1117054,39901
1998,Louisiana,1966954,20926,1442837,39638
1998,Maine,565338,2899,361368,28117
1998,Maryland,2621923,11736,1116616,42636
1998,Massachusetts,3782940,11554,1364674,99583
1998,Michigan,5104781,25142,2998227,154358
1998,Minnesota,2412412,14719,1750710,128097
1998,Mississippi,1250200,10185,995359,31138
1998,Missouri,2600722,13166,1763632,53653
1998,Montana,458116,2798,527363,21582
1998,Nebraska,834188,5559,686251,18662
1998,Nevada,665940,1706,552631,24709
1998,New Hampshire,687770,1735,348960,46040
1998,New Jersey,4215195,19581,1545560,100564
1998,New Mexico,821031,3632,770129,32364
1998,New York,7664320,48636,2709077,138846
1998,North Carolina,3530711,30739,2300380,75002
1998,North Dakota,330275,2299,339584,16167
1998,Ohio,6664356,35530,3339602,229306
1998,Oklahoma,1548949,15935,1354302,53326
1998,Oregon,1588313,12755,1378996,64506
